,Name,Status,State,Farm,Date.of.colleciton,RectaTemp,X16S.copies,Hscopy_log,HScopies,HSpre_abs,MBcopy_log,MBpre_abs,MBcopies,MHcopy_log,MHpre_abs,MHcopies,PMcopy_log,PMpre_abs,PMcopies,Name16S,quality
Beef545,Beef 545,BRD,IN,Farm3,11/11/20,104.8,35660454.22,7.081068049,12052247.7,1,5.605049427,1,402762.87,4.370260989,1,23456.38,5.332755985,1,215157.25,Beef545,Dirty
Beef546,Beef 546,Healthy,IN,Farm3,11/18/20,103.7,164343930.8,3.409355216,2566.582422,1,2.826074803,0,670,2.230448921,0,170,4.461489523,1,28939.4,Beef546,Dirty
Beef547,Beef 547,Healthy,IN,Farm3,11/18/20,102.5,57314414.89,6.530182242,3389863.744,1,6.692877929,1,4930352.03,2.230448921,0,170,6.459390597,1,2879987.46,Beef547,Dirty
Beef548,Beef 548,Healthy,IN,Farm3,11/18/20,103.6,223685399.7,4.168157353,14728.46044,1,4.940271777,1,87150.88,4.562476895,1,36515.47,6.275352835,1,1885180.05,Beef548,Dirty
Beef549,Beef 549,Healthy,IN,Farm3,11/18/20,103.3,8940077.77,3.478451717,3009.204601,1,2.826074803,0,670,4.255084994,1,17992.23,5.71260824,1,515950.74,Beef549,Dirty
Beef550,Beef 550,Healthy,IN,Farm3,11/18/20,102.4,17955854.51,4.705708519,50781.85008,1,5.761893642,1,577954.49,2.230448921,0,170,6.210893009,1,1625148.34,Beef550,Dirty
Beef551,Beef 551,BRD,IN,Farm3,11/18/20,105.2,7.24E+11,3.466326861,2926.353995,1,5.685494398,1,484723.86,2.230448921,0,170,7.031047095,1,10741058.82,Beef551,Dirty
Beef552,Beef 552,Healthy,IN,Farm3,11/18/20,102.5,56280968.14,5.345193197,221407.9429,1,4.222117148,1,16676.97,4.542853549,1,34902.26,5.885808833,1,768791.96,Beef552,Dirty
Beef553,Beef 553,BRD,IN,Farm3,11/18/20,104.8,1064023600,6.940979604,8729303.725,1,6.219079513,1,1656073.14,4.050461348,1,11232.11,3.926203491,1,8437.3,Beef553,Dirty
Beef554,Beef 554,Healthy,IN,Farm3,11/18/20,102.9,104566185.7,6.430370508,2693832.002,1,5.0200118,1,104715.7,3.766585341,1,5842.32,6.153521383,1,1424037.36,Beef554,Dirty
Beef555,Beef 555,BRD,IN,Farm3,11/18/20,105.8,335480067.9,4.914067611,82047.92669,1,2.826074803,0,670,4.980508178,1,95611.07,6.589527272,1,3886219.01,Beef555,Dirty
Beef556,Beef 556,Healthy,IN,Farm3,12/2/20,103.7,17970497.91,3.661980336,4591.772214,1,2.826074803,0,670,2.230448921,0,170,2.278753601,0,190,Beef556,Dirty
Beef557,Beef 557,BRD,IN,Farm3,12/2/20,103,608892924.7,7.376363038,23788279.79,1,6.726289013,1,5324624.83,4.407307947,1,25545.12,6.084547267,1,1214918.84,Beef557,Dirty
Beef558,Beef 558,Healthy,IN,Farm3,12/2/20,102.9,21003857.39,6.92477996,8409689.486,1,3.814043723,1,6516.94,3.587649239,1,3869.45,6.354559412,1,2262348.01,Beef558,Dirty
Beef559,Beef 559,Healthy,IN,Farm3,12/2/20,103.5,106927258,5.981140424,957503.6178,1,2.826074803,0,670,2.230448921,0,170,3.414127321,1,2594.94,Beef559,Dirty
Beef56,Beef 56,Healthy,TX,Farm1,3/23/21,101.8,166569187.9,7.501026988,31697644.34,1,2.826074803,0,670,2.230448921,0,170,6.636315666,1,4328283.166,Beef56,Dirty
Beef560,Beef 560,BRD,IN,Farm3,12/2/20,104,56378457.97,6.551931895,3563952.403,1,2.826074803,0,670,2.230448921,0,170,5.853180515,1,713149.39,Beef560,Dirty
Beef561,Beef 561,BRD,IN,Farm3,12/2/20,104.9,831889037.2,7.45952467,28808766.92,1,6.465584806,1,2921358.17,4.089281115,1,12282.34,5.830554841,1,676947.27,Beef561,Dirty
Beef562,Beef 562,Healthy,IN,Farm3,12/2/20,102.5,19688076.92,5.612259679,409505.4431,1,4.587949144,1,38721.23,4.492815824,1,31103.97,4.248551205,1,17723.57,Beef562,Dirty
Beef563,Beef 563,Healthy,IN,Farm3,12/2/20,104.9,78315943.44,5.000200738,100046.2324,1,2.826074803,0,670,2.230448921,0,170,4.701462205,1,50287.75,Beef563,Dirty
Beef564,Beef 564,BRD,IN,Farm3,12/2/20,103.8,620933353.5,6.677395818,4757686.459,1,5.753627696,1,567058.28,5.460916822,1,289012.63,6.335689171,1,2166153.21,Beef564,Dirty
Beef565,Beef 565,Healthy,IN,Farm3,12/2/20,103,1148807162,7.316841689,20741572.99,1,2.826074803,0,670,2.440783181,1,275.92,6.771362446,1,5906938.45,Beef565,Dirty
Beef566,Beef 566,Healthy,IN,Farm3,12/2/20,102,88328042.68,5.11224917,129493.858,1,5.606814734,1,404403.34,2.230448921,0,170,6.37459368,1,2369156.12,Beef566,Dirty
Beef567,Beef 567,BRD,IN,Farm3,12/2/20,102.7,1.50E+12,5.390952529,246009.8688,1,4.752474846,1,56555.5,2.230448921,0,170,4.824282659,1,66724.09,Beef567,Dirty
Beef57,Beef 57,BRD,TX,Farm1,3/22/21,105.7,12413239688,7.65754421,45451080.27,1,6.217532878,1,1650185.924,5.756108268,1,570306.4294,6.855424072,1,7168430.389,Beef57,Dirty
Beef58,Beef 58,BRD,TX,Farm1,3/23/21,104.9,4877435639,7.884227692,76599809.89,1,5.363742793,1,231069.5897,3.824021785,1,6668.402185,5.613826152,1,410985.1704,Beef58,Dirty
