Name,Status,State,Farm,animal,Date.of.colleciton,RectaTemp,X16S.copies,Hscopy_log,HScopies,HSpre_abs,MBcopy_log,MBcopies,MBpre_abs,MHcopy_log,MHcopies,MHpre_abs,PMcopy_log,PMcopies,PMpre_abs,ID,HSRel,PMRel,MBRel,MHRel,BactABund,HSRelBact,PMRelBact,MBRelBact,MHRelBact,X16S_log
Dairy 289,Healthy,TX,Farm1,calf,1/1/22,102.2,17707878.4,2.278753601,190,0,2.826074803,670,0,2.230448921,170,0,2.278753601,190,0,Dairy289,1.07E-05,1.07E-05,3.78E-05,9.60E-06,1220,0.155737705,0.155737705,0.549180328,0.139344262,7.248166556
Dairy 290,BRD,TX,Farm1,calf,1/1/22,101.2,185214285.2,2.925910585,843.1611443,1,2.826074803,670,0,2.230448921,170,0,2.278753601,190,0,Dairy290,4.55E-06,1.03E-06,3.62E-06,9.18E-07,1873.161144,0.450127394,0.101432811,0.357684122,0.090755673,8.267674482
Dairy 291,Healthy,TX,Farm1,calf,1/1/22,102.9,41651198.16,6.448132318,2806288.507,1,2.826074803,670,0,2.230448921,170,0,5.880630327,759679.3601,1,Dairy291,0.067375937,0.018239076,1.61E-05,4.08E-06,3566807.867,0.786778714,0.212985781,0.000187843,4.77E-05,7.619627509
Dairy 292,BRD,TX,Farm1,calf,1/1/22,101.8,4119073.23,3.658000175,4549.882431,1,2.826074803,670,0,2.230448921,170,0,2.278753601,190,0,Dairy292,0.001104589,4.61E-05,0.000162658,4.13E-05,5579.882431,0.815408297,0.034050897,0.120074215,0.030466592,6.614799618
Dairy 293,Healthy,TX,Farm1,calf,1/1/22,101.3,18210507.83,3.834340569,6828.739861,1,2.826074803,670,0,2.230448921,170,0,2.278753601,190,0,Dairy293,0.000374989,1.04E-05,3.68E-05,9.34E-06,7858.739861,0.86893573,0.024176904,0.085255399,0.021631967,7.260322081
Dairy 294,BRD,TX,Farm1,calf,1/1/22,101.6,468804397.5,3.329782901,2136.893612,1,2.826074803,670,0,2.230448921,170,0,2.278753601,190,0,Dairy294,4.56E-06,4.05E-07,1.43E-06,3.63E-07,3166.893612,0.674760151,0.0599957,0.211563785,0.053680363,8.670991678
Dairy 295,BRD,TX,Farm1,calf,1/1/22,102,19902943.76,4.107896338,12820.2454,1,2.826074803,670,0,2.230448921,170,0,2.278753601,190,0,Dairy295,0.000644138,9.55E-06,3.37E-05,8.54E-06,13850.2454,0.925633087,0.013718168,0.048374594,0.012274151,7.298917338
Dairy 296,BRD,TX,Farm1,calf,1/1/22,102.5,14872736.14,3.055598508,1136.576071,1,2.826074803,670,0,2.230448921,170,0,2.278753601,190,0,Dairy296,7.64E-05,1.28E-05,4.50E-05,1.14E-05,2166.576071,0.524595506,0.087695975,0.3092437,0.078464819,7.172390902
Dairy 298,Healthy,TX,Farm1,calf,1/1/22,102.2,4323472.87,3.215820831,1643.693473,1,2.826074803,670,0,2.230448921,170,0,2.278753601,190,0,Dairy298,0.000380179,4.39E-05,0.000154968,3.93E-05,2673.693473,0.614765114,0.071062746,0.250589683,0.063582457,6.635832839
Dairy 299,Healthy,TX,Farm1,calf,1/1/22,102.8,25512726.49,3.017166851,1040.319769,1,2.826074803,670,0,2.230448921,170,0,2.278753601,190,0,Dairy299,4.08E-05,7.45E-06,2.63E-05,6.66E-06,2070.319769,0.502492313,0.091773263,0.323621505,0.082112919,7.40675689
Dairy 300,BRD,TX,Farm1,calf,1/1/22,102.4,7295372.52,2.278753601,190,0,2.826074803,670,0,2.230448921,170,0,2.278753601,190,0,Dairy300,2.60E-05,2.60E-05,9.18E-05,2.33E-05,1220,0.155737705,0.155737705,0.549180328,0.139344262,6.863047532
Dairy 302,Healthy,TX,Farm1,calf,1/1/22,101.5,96945146.13,3.432120888,2704.711127,1,2.826074803,670,0,2.230448921,170,0,2.278753601,190,0,Dairy302,2.79E-05,1.96E-06,6.91E-06,1.75E-06,3734.711127,0.724208924,0.050874082,0.179398079,0.045518915,7.986526074
Dairy 303,BRD,TX,Farm1,calf,1/1/22,101.2,980270157,3.274754558,1882.584842,1,2.826074803,670,0,2.230448921,170,0,2.278753601,190,0,Dairy303,1.92E-06,1.94E-07,6.83E-07,1.73E-07,2912.584842,0.646362233,0.065234151,0.230036217,0.058367398,8.991345782
Dairy 304,BRD,TX,Farm1,calf,1/1/22,102.1,195681287.2,3.775096432,5957.944207,1,2.826074803,670,0,2.230448921,170,0,2.278753601,190,0,Dairy304,3.04E-05,9.71E-07,3.42E-06,8.69E-07,6987.944207,0.852603288,0.027189685,0.095879415,0.024327613,8.291549299
Dairy 305,Healthy,TX,Farm1,calf,1/1/22,102.2,56900096.86,2.278753601,190,0,2.826074803,670,0,2.230448921,170,0,6.279655177,1903948.412,1,Dairy305,3.34E-06,0.033461251,1.18E-05,2.99E-06,1904978.412,9.97E-05,0.999459311,0.00035171,8.92E-05,7.755113013
Dairy 306,Healthy,TX,Farm1,calf,1/1/22,102.2,25588555.44,2.278753601,190,0,2.826074803,670,0,2.230448921,170,0,4.679643753,47823.76387,1,Dairy306,7.43E-06,0.001868951,2.62E-05,6.64E-06,48853.76387,0.003889158,0.978916671,0.013714399,0.003479773,7.408045786
Dairy 307,BRD,TX,Farm1,calf,1/1/22,104.3,230,3.401494606,2520.545876,1,2.826074803,670,0,2.230448921,170,0,7.781650066,60485331.67,1,Dairy307,10.95889511,262979.7029,2.913043478,0.739130435,60488692.22,4.17E-05,0.999944443,1.11E-05,2.81E-06,2.36361198
Dairy 308,Healthy,TX,Farm1,calf,1/1/22,102.2,331355406.3,4.466186101,29254.05682,1,2.826074803,670,0,2.230448921,170,0,2.278753601,190,0,Dairy308,8.83E-05,5.73E-07,2.02E-06,5.13E-07,30284.05682,0.965988705,0.006273928,0.022123852,0.005613515,8.520294062
Dairy 309,BRD,TX,Farm1,calf,1/1/22,101.7,30952416.47,3.791858237,6192.389091,1,2.826074803,670,0,2.230448921,170,0,3.218694716,1654.606461,1,Dairy309,0.000200062,5.35E-05,2.16E-05,5.49E-06,8686.995552,0.71283438,0.190469357,0.077126781,0.019569482,7.490694574
Dairy 310,Healthy,TX,Farm1,calf,1/1/22,100.5,51889054702,3.667214148,4647.443819,1,2.826074803,670,0,2.230448921,170,0,7.199322844,15824239.39,1,Dairy310,8.96E-08,0.000304963,1.29E-08,3.28E-09,15829726.83,0.00029359,0.999653346,4.23E-05,1.07E-05,10.71507576
Dairy 311,BRD,TX,Farm1,calf,1/1/22,102.3,4233266.1,2.278753601,190,0,2.826074803,670,0,2.230448921,170,0,2.278753601,190,0,Dairy311,4.49E-05,4.49E-05,0.00015827,4.02E-05,1220,0.155737705,0.155737705,0.549180328,0.139344262,6.626675671
Dairy 312,Healthy,TX,Farm1,calf,1/1/22,102.2,41210229.74,3.214643946,1639.245297,1,2.826074803,670,0,2.230448921,170,0,5.857404337,720119.1109,1,Dairy312,3.98E-05,0.01747428,1.63E-05,4.13E-06,722598.3562,0.002268543,0.996568986,0.000927209,0.000235262,7.615005046
Dairy 313,BRD,TX,Farm1,calf,1/1/22,102.5,179242264.7,2.278753601,190,0,2.826074803,670,0,2.230448921,170,0,2.278753601,190,0,Dairy313,1.06E-06,1.06E-06,3.74E-06,9.48E-07,1220,0.155737705,0.155737705,0.549180328,0.139344262,8.253440425
Dairy 314,BRD,TX,Farm1,calf,1/1/22,101.1,3697683.68,3.064096426,1159.034666,1,2.826074803,670,0,3.783360044,6072.395415,1,2.278753601,190,0,Dairy314,0.000313449,5.14E-05,0.000181195,0.001642216,8091.430081,0.143242252,0.023481634,0.082803657,0.750472457,6.567929874
