"","Family","Status","Abundance.average","overall.max"
"329"," Rubinisphaeraceae","Healthy",6.12927583291874e-05,6.12927583291874e-05
"330"," Rubritaleaceae","Healthy",6.39105498153209e-06,6.39105498153209e-06
"331"," Rubrobacteriaceae","Healthy",0,0
"332"," Ruminococcaceae","Healthy",0.00294838051598197,0.00294838051598197
"333"," S0134_terrestrial_group","Healthy",0,0
"334"," S085","Healthy",0,0
"335"," Saccharimonadaceae","Healthy",3.29788880991141e-06,3.29788880991141e-06
"336"," Saccharimonadales","Healthy",1.16200613024053e-05,1.16200613024053e-05
"337"," Saccharospirillaceae","Healthy",3.67295941351723e-05,3.67295941351723e-05
"338"," Sandaracinaceae","Healthy",6.77331552543157e-06,6.77331552543157e-06
"339"," Sanguibacteraceae","Healthy",9.71635695871594e-05,9.71635695871594e-05
"340"," Saprospiraceae","Healthy",7.34031822865348e-06,7.34031822865348e-06
"341"," SAR324_clade(Marine_grouB)","Healthy",0,0
"342"," SBR1031","Healthy",6.03695060510349e-06,6.03695060510349e-06
"343"," Schlesneriaceae","Healthy",0,0
"344"," Sedimentibacteraceae","Healthy",1.59059817412177e-05,1.59059817412177e-05
"345"," Selenomonadaceae","Healthy",0.00177940431927918,0.00177940431927918
"346"," Sericytochromatia","Healthy",8.42980016338393e-06,8.42980016338393e-06
"347"," Shewanellaceae","Healthy",9.79806046299195e-05,9.79806046299195e-05
"348"," Silvanigrellaceae","Healthy",0,0
"349"," SM2D12","Healthy",1.71380217978614e-06,1.71380217978614e-06
"350"," Solibacteraceae","Healthy",0,0
"351"," Solimonadaceae","Healthy",2.23120431303593e-06,2.23120431303593e-06
"352"," Solirubrobacteraceae","Healthy",3.69609039835237e-05,3.69609039835237e-05
"353"," Sphingobacteriaceae","Healthy",0.00909216843860909,0.00909216843860909
"354"," Sphingomonadaceae","Healthy",0.00162327155597437,0.00162327155597437
"355"," Spirochaetaceae","Healthy",0.00102803475342645,0.00102803475342645
"356"," Spirosomaceae","Healthy",0.000162675350699258,0.000162675350699258
"357"," Spongiibacteraceae","Healthy",7.55407847164729e-07,7.55407847164729e-07
"358"," Sporolactobacillaceae","Healthy",1.1650310390128e-05,1.1650310390128e-05
"359"," Sporomusaceae","Healthy",2.31993119393403e-07,2.31993119393403e-07
"360"," Staphylococcaceae","Healthy",0.0264803238812674,0.0264803238812674
"361"," Stappiaceae","Healthy",4.74022580991812e-05,4.74022580991812e-05
"362"," Steroidobacteraceae","Healthy",0,0
"363"," Streptococcaceae","Healthy",0.0552174591027622,0.0552174591027622
"364"," Streptomycetaceae","Healthy",4.07692772258285e-05,4.07692772258285e-05
"365"," Streptosporangiaceae","Healthy",6.69063067179096e-07,6.69063067179096e-07
"366"," Subgrou22","Healthy",6.21825290411843e-07,6.21825290411843e-07
"367"," Subgrou5","Healthy",0,0
"368"," Subgrou7","Healthy",1.20402665040749e-06,1.20402665040749e-06
"369"," Succinivibrionaceae","Healthy",0.000399177166491222,0.000399177166491222
"370"," Sulfurimonadaceae","Healthy",1.9976912016885e-07,1.9976912016885e-07
"371"," Sulfurospirillaceae","Healthy",1.18513387035173e-07,1.18513387035173e-07
"372"," Sulfurovaceae","Healthy",1.97522311725288e-07,1.97522311725288e-07
"373"," Sumerlaeaceae","Healthy",3.90564769265232e-05,3.90564769265232e-05
"374"," Sutterellaceae","Healthy",3.45346862547509e-05,3.45346862547509e-05
"375"," Symbiobacteraceae","Healthy",2.63063445729529e-07,2.63063445729529e-07
"376"," Synergistaceae","Healthy",0.000317261703543851,0.000317261703543851
"377"," Tannerellaceae","Healthy",0.000155243058624797,0.000155243058624797
"378"," Tepidisphaeraceae","Healthy",2.7679578587736e-06,2.7679578587736e-06
"379"," Terrimicrobiaceae","Healthy",2.66658245454264e-06,2.66658245454264e-06
"380"," Thermaceae","Healthy",0,0
