ID,cattle,State,Farm,Date_of_colleciton,Status,RectTemp,animal
Dairy357,Dairy 357,CA,Gold Star Cattle,07/14-15/2022,Healthy,101.7,calf
Dairy358,Dairy 358,CA,Gold Star Cattle,07/14-15/2022,Healthy,102.2,calf
Dairy359,Dairy 359,CA,Gold Star Cattle,07/14-15/2022,Healthy,100.9,calf
Dairy36,Dairy 36,IN,Warren,2/20/21,BRD,103.3,calf
Dairy360,Dairy 360,CA,Gold Star Cattle,07/14-15/2022,Healthy,101.4,calf
Dairy361,Dairy 361,CA,Gold Star Cattle,07/14-15/2022,Healthy,102,calf
Dairy362,Dairy 362,CA,Gold Star Cattle,07/14-15/2022,Healthy,102.8,calf
Dairy363,Dairy 363,CA,Gold Star Cattle,07/14-15/2022,Healthy,101.2,calf
Dairy364,Dairy 364,CA,Gold Star Cattle,07/14-15/2022,Healthy,102.8,calf
Dairy365,Dairy 365,CA,Gold Star Cattle,07/14-15/2022,Healthy,102.3,calf
Dairy366,Dairy 366,CA,Gold Star Cattle,07/14-15/2022,Healthy,102.3,calf
Dairy367,Dairy 367,CA,Gold Star Cattle,07/14-15/2022,Healthy,101.8,calf
Dairy368,Dairy 368,CA,Gold Star Cattle,07/14-15/2022,BRD,101.2,calf
Dairy369,Dairy 369,CA,Gold Star Cattle,07/14-15/2022,BRD,101.2,calf
Dairy37,Dairy 37,IN,Warren,2/20/21,BRD,101.4,calf
Dairy370,Dairy 370,CA,Gold Star Cattle,07/14-15/2022,BRD,101.2,calf
Dairy372,Dairy 372,CA,Gold Star Cattle,07/14-15/2022,BRD,100.8,calf
Dairy373,Dairy 373,CA,Gold Star Cattle,07/14-15/2022,BRD,101.2,calf
Dairy374,Dairy 374,CA,Gold Star Cattle,07/14-15/2022,BRD,102.9,calf
Dairy375,Dairy 375,CA,Gold Star Cattle,07/14-15/2022,BRD,101.6,calf
Dairy376,Dairy 376,CA,Gold Star Cattle,07/14-15/2022,BRD,101.8,calf
Dairy377,Dairy 377,CA,Gold Star Cattle,07/14-15/2022,BRD,102.2,calf
Dairy378,Dairy 378,CA,Gold Star Cattle,07/14-15/2022,BRD,101.5,calf
Dairy379,Dairy 379,CA,Gold Star Cattle,07/14-15/2022,BRD,102.2,calf
Dairy38,Dairy 38,IN,Warren,2/20/21,Healthy,102.1,calf
Dairy381,Dairy 381,CA,Gold Star Cattle,07/14-15/2022,BRD,102.2,calf
Dairy382,Dairy 382,CA,Gold Star Cattle,07/14-15/2022,BRD,105,calf
Dairy383,Dairy 383,CA,Gold Star Cattle,07/14-15/2022,Healthy,102.1,calf
Dairy384,Dairy 384,CA,Gold Star Cattle,07/14-15/2022,BRD,102.2,calf
Dairy385,Dairy 385,CA,Gold Star Cattle,07/14-15/2022,BRD,102.4,calf
Dairy386,Dairy 386,CA,Gold Star Cattle,07/14-15/2022,BRD,104.3,calf
Dairy387,Dairy 387,CA,Gold Star Cattle,07/14-15/2022,BRD,102.1,calf
Dairy388,Dairy 388,CA,Gold Star Cattle,07/14-15/2022,BRD,101.3,calf
Dairy389,Dairy 389,CA,Gold Star Cattle,07/14-15/2022,BRD,102.2,calf
Dairy39,Dairy 39,IN,Warren,2/20/21,BRD,101.9,calf
Dairy390,Dairy 390,CA,Gold Star Cattle,07/14-15/2022,BRD,101.7,calf
Dairy391,Dairy 391,CA,Gold Star Cattle,07/14-15/2022,BRD,102.5,calf
Dairy392,Dairy 392,CA,Gold Star Cattle,07/14-15/2022,BRD,102,calf
Dairy393,Dairy 393,CA,Gold Star Cattle,07/14-15/2022,BRD,102.3,calf
Dairy394,Dairy 394,CA,Gold Star Cattle,07/14-15/2022,BRD,102.1,calf
Dairy395,Dairy 395,CA,Gold Star Cattle,07/14-15/2022,BRD,101.7,calf
Dairy396,Dairy 396,CA,Gold Star Cattle,07/14-15/2022,BRD,102.2,calf
Dairy398,Dairy 398,CA,Gold Star Cattle,07/14-15/2022,BRD,103,calf
Dairy399,Dairy 399,CA,Gold Star Cattle,07/14-15/2022,BRD,101.7,calf
Dairy4,Dairy 4,IN,Warren,2/20/21,Healthy,,calf
Dairy40,Dairy 40,IN,Warren,2/20/21,Healthy,101.3,calf
Dairy401,Dairy 401,CA,Gold Star Cattle,07/14-15/2022,BRD,102.2,calf
Dairy402,Dairy 402,CA,Gold Star Cattle,07/14-15/2022,BRD,101.9,calf
Dairy403,Dairy 403,CA,Gold Star Cattle,07/14-15/2022,BRD,101.8,calf
Dairy404,Dairy 404,CA,Gold Star Cattle,07/14-15/2022,BRD,101.7,calf
Dairy405,Dairy 405,CA,Gold Star Cattle,07/14-15/2022,BRD,97.8,calf
Dairy406,Dairy 406,CA,Gold Star Cattle,07/14-15/2022,BRD,102.1,calf
Dairy407,Dairy 407,CA,Gold Star Cattle,07/14-15/2022,BRD,102.7,calf
Dairy408,Dairy 408,CA,Gold Star Cattle,07/14-15/2022,BRD,102.6,calf
Dairy409,Dairy 409,CA,Gold Star Cattle,07/14-15/2022,BRD,101.9,calf
Dairy41,Dairy 41,IN,Warren,2/20/21,Healthy,101.9,calf
Dairy410,Dairy 410,CA,Gold Star Cattle,07/14-15/2022,BRD,101.5,calf
Dairy411,Dairy 411,CA,Gold Star Cattle,07/14-15/2022,BRD,102.7,calf
Dairy412,Dairy 412,CA,Gold Star Cattle,07/14-15/2022,BRD,101.9,calf
Dairy413,Dairy 413,CA,Gold Star Cattle,07/14-15/2022,BRD,102.4,calf
Dairy414,Dairy 414,CA,Gold Star Cattle,07/14-15/2022,BRD,103.8,calf
Dairy415,Dairy 415,CA,Gold Star Cattle,07/14-15/2022,BRD,102.6,calf
Dairy416,Dairy 416,CA,Gold Star Cattle,07/14-15/2022,BRD,100.6,calf
