"","State","Genus","Status","taxa.average","overall.max"
"338","CA"," Desulfobulbus","Healthy",0,0
"339","CA"," Desulfohalotomaculum","Healthy",0,0
"340","CA"," Desulfomicrobium","Healthy",0,0
"341","CA"," Desulfomonile","Healthy",0,0
"342","CA"," Desulfonispora","Healthy",0,0
"343","CA"," Desulfoprunum","Healthy",0,0
"344","CA"," Desulfosporosinus","Healthy",0,0
"345","CA"," Desulfotalea","Healthy",0,0
"346","CA"," Desulfovibrio","Healthy",0,0
"347","CA"," Desulfovibrionaceae","Healthy",0,0
"348","CA"," DEV114","Healthy",0,0
"349","CA"," Devosia","Healthy",2.89154531018418e-05,2.89154531018418e-05
"350","CA"," Devosiaceae","Healthy",0,0
"351","CA"," dgA-11_gut_group","Healthy",0,0
"352","CA"," Dialister","Healthy",0.000280433785418839,0.000280433785418839
"353","CA"," Dielma","Healthy",0,0
"354","CA"," Dietzia","Healthy",0.000604335899925414,0.000604335899925414
"355","CA"," DNF00809","Healthy",0,0
"356","CA"," Dokdonella","Healthy",0,0
"357","CA"," Dongia","Healthy",0,0
"358","CA"," Dorea","Healthy",6.22281540298985e-06,6.22281540298985e-06
"359","CA"," DSSF69","Healthy",0,0
"360","CA"," DTU089","Healthy",0,0
"361","CA"," Duganella","Healthy",0,0
"362","CA"," Dyadobacter","Healthy",0,0
"363","CA"," Dysgonomonadaceae","Healthy",1.83989932070917e-06,1.83989932070917e-06
"364","CA"," Dysgonomonas","Healthy",0,0
"365","CA"," Edaphobaculum","Healthy",0,0
"366","CA"," Eggerthella","Healthy",1.74986394807804e-06,1.74986394807804e-06
"367","CA"," Eggerthellaceae","Healthy",3.34527149219849e-07,3.34527149219849e-07
"368","CA"," Egicoccus","Healthy",0,0
"369","CA"," Eisenbergiella","Healthy",0,0
"370","CA"," Elizabethkingia","Healthy",0,0
"371","CA"," Ellin6055","Healthy",0,0
"372","CA"," Ellin6067","Healthy",0,0
"373","CA"," Elusimicrobium","Healthy",4.00485548679219e-07,4.00485548679219e-07
"374","CA"," EMP-G18","Healthy",0,0
"375","CA"," Empedobacter","Healthy",0.00577074616988269,0.00577074616988269
"376","CA"," Emticicia","Healthy",0,0
"377","CA"," Endobacter","Healthy",0,0
"378","CA"," Enhydrobacter","Healthy",0.000802042197866497,0.000802042197866497
"379","CA"," Ensifer","Healthy",0,0
"380","CA"," Enteractinococcus","Healthy",4.07597457202279e-05,4.07597457202279e-05
